epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
0.7,0.03846153846153849,0.5217391304347827,[0.         0.46153846 1.        ],[0.         0.42307692 1.        ],41,2,nd-laplace-optimal-truncated
0.7,0.11538461538461531,0.5555555555555556,[0.         0.57692308 1.        ],[0.         0.46153846 1.        ],42,2,nd-laplace-optimal-truncated
0.7,0.3846153846153846,0.75,[0.         0.57692308 1.        ],[0.         0.19230769 1.        ],43,2,nd-laplace-optimal-truncated
0.7,0.34615384615384615,0.6363636363636365,[0.         0.80769231 1.        ],[0.         0.46153846 1.        ],44,2,nd-laplace-optimal-truncated
0.7,0.3846153846153846,0.6785714285714286,[0.         0.73076923 1.        ],[0.         0.34615385 1.        ],45,2,nd-laplace-optimal-truncated
0.7,0.3846153846153846,0.7777777777777778,[0.         0.53846154 1.        ],[0.         0.15384615 1.        ],46,2,nd-laplace-optimal-truncated
0.7,0.34615384615384615,0.6666666666666667,[0.         0.69230769 1.        ],[0.         0.34615385 1.        ],47,2,nd-laplace-optimal-truncated
0.7,0.2692307692307693,0.64,[0.         0.61538462 1.        ],[0.         0.34615385 1.        ],48,2,nd-laplace-optimal-truncated
0.7,0.23076923076923078,0.6153846153846154,[0.         0.61538462 1.        ],[0.         0.38461538 1.        ],49,2,nd-laplace-optimal-truncated
1.0,0.1923076923076923,0.5862068965517241,[0.         0.65384615 1.        ],[0.         0.46153846 1.        ],0,2,nd-laplace-optimal-truncated
1.0,0.19230769230769235,0.5925925925925926,[0.         0.61538462 1.        ],[0.         0.42307692 1.        ],1,2,nd-laplace-optimal-truncated
1.0,0.23076923076923078,0.6153846153846154,[0.         0.61538462 1.        ],[0.         0.38461538 1.        ],2,2,nd-laplace-optimal-truncated
1.0,0.23076923076923073,0.5937499999999999,[0.         0.73076923 1.        ],[0.  0.5 1. ],3,2,nd-laplace-optimal-truncated
1.0,0.15384615384615385,0.5555555555555556,[0.         0.76923077 1.        ],[0.         0.61538462 1.        ],4,2,nd-laplace-optimal-truncated
1.0,0.23076923076923073,0.5789473684210525,[0.         0.84615385 1.        ],[0.         0.61538462 1.        ],5,2,nd-laplace-optimal-truncated
1.0,0.038461538461538436,0.5142857142857142,[0.         0.69230769 1.        ],[0.         0.65384615 1.        ],6,2,nd-laplace-optimal-truncated
1.0,0.23076923076923073,0.6363636363636364,[0.         0.53846154 1.        ],[0.         0.30769231 1.        ],7,2,nd-laplace-optimal-truncated
1.0,0.038461538461538436,0.5172413793103448,[0.         0.57692308 1.        ],[0.         0.53846154 1.        ],8,2,nd-laplace-optimal-truncated
1.0,0.23076923076923073,0.6000000000000001,[0.         0.69230769 1.        ],[0.         0.46153846 1.        ],9,2,nd-laplace-optimal-truncated
1.0,0.23076923076923078,0.6153846153846154,[0.         0.61538462 1.        ],[0.         0.38461538 1.        ],10,2,nd-laplace-optimal-truncated
1.0,0.1923076923076923,0.5641025641025641,[0.         0.84615385 1.        ],[0.         0.65384615 1.        ],11,2,nd-laplace-optimal-truncated
1.0,0.30769230769230765,0.6333333333333333,[0.         0.73076923 1.        ],[0.         0.42307692 1.        ],12,2,nd-laplace-optimal-truncated
1.0,0.3461538461538461,0.6551724137931034,[0.         0.73076923 1.        ],[0.         0.38461538 1.        ],13,2,nd-laplace-optimal-truncated
1.0,0.1923076923076924,0.5714285714285714,[0.         0.76923077 1.        ],[0.         0.57692308 1.        ],14,2,nd-laplace-optimal-truncated
1.0,0.0,0.5,[0.         0.61538462 1.        ],[0.         0.61538462 1.        ],15,2,nd-laplace-optimal-truncated
1.0,0.4615384615384615,0.676470588235294,[0.         0.88461538 1.        ],[0.         0.42307692 1.        ],16,2,nd-laplace-optimal-truncated
1.0,0.3076923076923077,0.7222222222222222,[0.  0.5 1. ],[0.         0.19230769 1.        ],17,2,nd-laplace-optimal-truncated
1.0,0.0,0.5,[0.         0.57692308 1.        ],[0.         0.57692308 1.        ],18,2,nd-laplace-optimal-truncated
1.0,0.1538461538461538,0.5769230769230769,[0.         0.57692308 1.        ],[0.         0.42307692 1.        ],19,2,nd-laplace-optimal-truncated
1.0,0.07692307692307687,0.5294117647058824,[0.         0.69230769 1.        ],[0.         0.61538462 1.        ],20,2,nd-laplace-optimal-truncated
1.0,0.23076923076923075,0.6875,[0.         0.42307692 1.        ],[0.         0.19230769 1.        ],21,2,nd-laplace-optimal-truncated
1.0,0.19230769230769224,0.6,[0.         0.57692308 1.        ],[0.         0.38461538 1.        ],22,2,nd-laplace-optimal-truncated
1.0,0.15384615384615385,0.5555555555555556,[0.         0.76923077 1.        ],[0.         0.61538462 1.        ],23,2,nd-laplace-optimal-truncated
1.0,0.23076923076923078,0.6071428571428572,[0.         0.65384615 1.        ],[0.         0.42307692 1.        ],24,2,nd-laplace-optimal-truncated
1.0,0.038461538461538436,0.5121951219512195,[0.         0.80769231 1.        ],[0.         0.76923077 1.        ],25,2,nd-laplace-optimal-truncated
1.0,0.26923076923076916,0.6521739130434783,[0.         0.57692308 1.        ],[0.         0.30769231 1.        ],26,2,nd-laplace-optimal-truncated
1.0,0.3461538461538462,0.6451612903225807,[0.         0.76923077 1.        ],[0.         0.42307692 1.        ],27,2,nd-laplace-optimal-truncated
1.0,0.42307692307692313,0.6410256410256411,[0.         0.96153846 1.        ],[0.         0.53846154 1.        ],28,2,nd-laplace-optimal-truncated
1.0,0.11538461538461542,0.5454545454545455,[0.         0.69230769 1.        ],[0.         0.57692308 1.        ],29,2,nd-laplace-optimal-truncated
1.0,0.11538461538461536,0.56,[0.         0.53846154 1.        ],[0.         0.42307692 1.        ],30,2,nd-laplace-optimal-truncated
1.0,0.23076923076923073,0.5937499999999999,[0.         0.73076923 1.        ],[0.  0.5 1. ],31,2,nd-laplace-optimal-truncated
1.0,0.34615384615384615,0.6363636363636365,[0.         0.80769231 1.        ],[0.         0.46153846 1.        ],32,2,nd-laplace-optimal-truncated
1.0,0.07692307692307698,0.5333333333333334,[0.         0.61538462 1.        ],[0.         0.53846154 1.        ],33,2,nd-laplace-optimal-truncated
1.0,0.4615384615384615,0.676470588235294,[0.         0.88461538 1.        ],[0.         0.42307692 1.        ],34,2,nd-laplace-optimal-truncated
1.0,0.038461538461538436,0.5135135135135136,[0.         0.73076923 1.        ],[0.         0.69230769 1.        ],35,2,nd-laplace-optimal-truncated
1.0,0.3461538461538462,0.6451612903225807,[0.         0.76923077 1.        ],[0.         0.42307692 1.        ],36,2,nd-laplace-optimal-truncated
1.0,0.3846153846153846,0.6923076923076923,[0.         0.69230769 1.        ],[0.         0.30769231 1.        ],37,2,nd-laplace-optimal-truncated
1.0,0.23076923076923078,0.7142857142857142,[0.         0.38461538 1.        ],[0.         0.15384615 1.        ],38,2,nd-laplace-optimal-truncated
1.0,0.11538461538461542,0.5483870967741936,[0.         0.65384615 1.        ],[0.         0.53846154 1.        ],39,2,nd-laplace-optimal-truncated
1.0,0.3461538461538462,0.6956521739130436,[0.         0.61538462 1.        ],[0.         0.26923077 1.        ],40,2,nd-laplace-optimal-truncated
1.0,0.1923076923076923,0.6086956521739131,[0.         0.53846154 1.        ],[0.         0.34615385 1.        ],41,2,nd-laplace-optimal-truncated
1.0,0.0,0.5,[0.  0.5 1. ],[0.  0.5 1. ],42,2,nd-laplace-optimal-truncated
1.0,0.4615384615384615,0.7307692307692307,[0.         0.73076923 1.        ],[0.         0.26923077 1.        ],43,2,nd-laplace-optimal-truncated
1.0,0.23076923076923073,0.6000000000000001,[0.         0.69230769 1.        ],[0.         0.46153846 1.        ],44,2,nd-laplace-optimal-truncated
